,Selected
5748,0
5022,0
2788,0
4970,0
6939,1
5479,0
1253,0
6369,0
2196,0
945,0
4159,0
3817,0
5699,1
5122,0
3816,1
1385,0
6022,0
4206,0
5104,0
5980,0
5033,0
2266,0
5503,0
4122,0
4995,0
5759,0
3264,0
4235,0
6626,0
83,0
3874,0
1065,0
962,0
2530,0
1392,0
6106,0
1695,0
6535,0
1642,0
3006,0
1467,0
2511,0
234,0
6154,0
2243,0
5563,0
0,0
5264,0
3156,0
3738,0
1355,0
5311,0
788,0
4044,0
4669,0
685,0
5369,0
5783,0
4876,0
148,0
6763,0
2112,1
491,0
4743,0
7076,0
6203,0
1663,0
6775,0
5696,0
7101,0
917,0
3460,0
766,0
2949,0
5489,0
5929,0
5565,0
2981,0
5323,0
1162,0
3543,1
6742,0
4708,0
5532,0
2093,0
2881,0
3931,0
5511,0
2734,0
4253,0
852,0
2531,0
1609,0
6670,0
3867,0
1176,0
5530,0
4794,0
7064,1
6567,0
4461,0
1187,0
1146,0
1479,1
6784,1
3114,0
2526,0
2822,0
6410,0
4431,0
1140,0
2258,0
5906,0
2698,0
4776,0
7119,0
6712,0
3255,0
1667,0
3864,0
360,0
1366,0
4163,0
1106,0
3324,0
2555,0
6423,0
3475,0
1578,0
7116,0
4450,0
4407,0
3876,0
365,0
4570,0
3402,0
1035,1
1343,0
1217,0
3081,1
3512,0
6590,0
2655,0
6824,0
3996,0
5390,0
6103,0
5993,0
6146,0
5947,0
2045,1
4927,0
3749,0
3832,0
6038,1
3315,0
604,1
6814,0
1288,0
5810,0
3317,1
6199,1
1474,0
6562,0
2571,0
5619,0
1685,0
5852,0
2188,0
5924,0
1600,1
1233,0
5932,0
5717,0
6886,0
1645,0
4177,0
7028,0
1453,0
6576,0
199,0
5845,0
1656,0
5450,0
6272,0
670,0
741,0
3478,0
2131,0
3626,0
3253,0
683,0
3545,0
1986,1
4121,0
2458,0
3265,0
3810,0
1384,0
2302,0
1301,0
493,0
892,0
2708,0
5612,0
1925,1
6454,0
2831,0
1693,0
6482,0
5650,0
1468,0
1887,1
476,0
6507,0
3901,1
2844,0
3748,0
2672,1
3187,0
5843,0
915,1
3479,1
4908,0
3786,0
1038,0
6352,0
5871,0
6631,0
984,0
437,0
5232,0
2184,0
2387,0
6081,0
2381,1
3275,0
3809,0
5952,0
842,0
5208,1
2309,1
4764,0
955,0
1328,0
3730,0
3842,0
7053,0
5376,1
2036,0
2841,0
1048,0
798,0
3875,0
3879,0
4744,0
4155,0
2142,0
3514,0
4220,1
3688,0
10,0
4073,0
1983,0
4001,0
5750,0
625,0
1859,0
1689,0
4327,0
6809,0
4923,1
2043,0
6050,0
4603,0
59,0
1493,0
6665,0
1311,0
1632,0
2929,0
4201,1
6047,1
4869,1
5965,1
900,0
861,0
3750,1
7062,0
2647,0
4040,0
5509,0
2099,0
1429,0
4442,0
5375,0
2432,0
2529,0
5821,0
3059,0
2617,0
4762,0
6523,0
6120,0
5443,0
4399,0
3268,0
5969,0
6846,0
1126,0
1931,0
6125,0
3377,0
3790,0
3611,0
1346,1
3338,0
9,0
6998,1
3911,0
384,0
4060,0
4600,1
1337,0
478,0
2613,0
2842,0
4465,0
3839,0
3555,0
4354,0
4457,0
3391,0
2026,0
5303,0
4940,0
727,0
4766,0
3052,0
5870,0
5423,1
1033,0
2566,0
2764,0
1530,1
3217,1
3392,0
6857,0
2608,1
6166,0
4939,0
4614,0
6625,1
2563,0
988,0
4719,0
4211,0
5059,0
2940,0
1279,0
1393,0
2984,0
1947,0
1874,0
5751,0
6402,0
2139,0
1469,0
2675,0
5185,0
2680,0
2403,0
2824,0
4404,0
3131,0
68,0
837,0
6548,1
994,0
562,0
953,0
38,0
3372,0
5773,0
1595,0
5064,0
1964,0
2840,1
15,0
6059,0
79,0
6033,0
179,1
4142,0
1363,0
5378,1
5291,0
6358,0
3158,1
6980,1
2834,0
6770,0
3385,0
4486,0
6416,0
1996,0
4204,1
403,0
3885,0
1446,0
1605,0
2075,0
5315,0
2468,0
2580,0
4577,0
1690,0
3720,0
5452,0
6001,0
5464,0
6842,0
3661,0
5974,0
3634,0
6164,1
6876,1
899,0
688,0
6912,0
602,0
1786,0
1776,0
3302,0
922,0
78,1
4598,0
6676,0
5648,0
3565,0
2965,0
3480,0
101,0
2542,0
3534,0
4174,0
4054,0
6028,1
6117,0
30,0
2567,0
5429,0
6530,1
1789,0
3113,0
923,0
6520,0
1504,0
1439,0
25,0
4958,0
1993,1
5898,0
1747,1
1737,0
4928,0
4579,0
2610,0
4092,0
3103,0
5461,0
500,0
3008,0
1604,0
19,0
1405,0
2217,0
895,0
6569,0
1359,0
6945,0
5665,0
2406,0
5766,0
561,0
4409,0
6483,0
6190,0
4256,1
348,0
4626,0
468,0
942,0
1199,0
1915,0
1089,0
5482,1
522,0
5635,0
2985,0
5433,0
1987,0
6503,0
616,0
940,0
4877,0
4065,0
6105,0
5711,0
5018,0
1016,0
2802,1
2041,0
6010,0
2797,0
371,0
2074,0
3643,0
6436,0
1719,0
1390,0
5089,0
5459,1
1700,0
2332,0
1011,0
4012,1
5202,0
529,0
5721,0
450,0
1979,0
6783,0
1028,0
5071,1
3501,0
2037,0
6048,1
4149,0
5790,1
4476,0
3919,0
3666,0
6564,0
6908,1
3238,0
2224,0
6211,0
1333,0
6889,0
5816,0
3046,0
3448,1
3762,0
6852,0
4395,0
4453,0
6392,0
4379,0
3929,1
3004,0
888,0
1069,0
4487,1
5588,0
5925,0
3771,0
2742,0
5394,1
6504,0
5517,0
841,0
4295,0
2147,0
124,1
6192,0
5662,1
649,0
3766,0
2704,0
1430,0
1659,0
5831,0
1970,0
434,0
6781,0
690,0
274,0
5981,0
1732,0
2035,0
4692,0
5791,0
6766,0
6571,0
205,1
1865,0
5416,0
1215,0
5549,0
2508,0
4507,0
5745,0
4352,0
1660,0
989,0
6484,0
1151,0
5707,0
4339,0
5949,0
1207,0
5703,0
4914,0
5432,1
6952,0
5204,0
5655,0
4803,0
7040,0
3086,0
2291,1
6951,0
6793,0
1149,1
6641,0
3487,0
3148,0
2262,0
463,1
3211,0
1209,0
4663,0
3523,0
2317,0
4165,0
7086,0
3976,0
351,0
162,0
6101,0
2760,0
2629,0
5424,0
4781,0
5499,0
5605,0
5276,1
4156,0
5768,0
6326,0
6253,0
3119,0
4736,0
4083,1
2151,1
1085,0
3098,1
5367,0
6921,0
557,0
2907,0
531,0
6044,0
1,0
2795,1
1167,1
4358,0
3291,0
1985,0
804,0
4154,0
6524,0
4560,0
1119,0
1473,1
4341,0
3882,0
5483,0
16,0
5590,0
2009,0
2781,1
3414,0
321,0
1466,0
2838,0
4977,0
2513,0
990,0
1730,0
4466,0
6068,0
4382,1
5037,0
4168,0
214,0
3045,0
6262,0
5496,0
3041,0
5920,0
4760,0
1867,0
2988,0
5595,0
6525,0
1432,0
4250,0
4783,1
6650,0
1734,0
3373,0
1625,0
4558,1
5400,0
5996,0
3997,0
2324,0
5566,0
1039,1
2203,0
5672,0
4637,0
6885,0
3207,0
5447,0
3498,0
4267,0
6563,0
5484,0
703,0
6638,0
3362,0
3826,0
1096,0
6985,0
4146,0
42,0
2685,0
4679,0
3635,0
865,0
3263,0
1136,0
3499,0
6057,0
6016,0
6663,0
3795,0
2701,0
6129,0
4282,0
4010,1
4315,0
5844,0
5469,0
599,0
4612,0
2587,0
